name,description,sector,close,Perf.5Y,Volatility.W,Volatility.M,market_cap_basic,debt_to_equity_fq,RSI
SEIG,SAUDI EGYPTIAN INVESTMENT & FINANCE,Finance,52.5,64.37068991,12.40482893,11.50776269,146274996.0,0.0,37.62175141
SIPC,SABAA INTERNATIONAL COMPANY FOR PHARMACEUTICAL AND CHEMICAL,Health Technology,0.68,37.98701299,4.054419255,4.928062351,170000002.0,0.00028108,45.94497791
SNFC,SHARKIA NATIONAL FOOD,Process Industries,2.28,711.3879004,5.471466304,7.485673432,370475299.0,0.0,69.02479163
SPHT,EL SHAMS PYRAMIDS FOR HOTELS& TOURISTIC PROJECTS,Consumer Services,2.55,-5.842982754,0.0,0.0,7739418630.0,0.008123335,52.69202691
SPIN,ALEXANDRIA SPINNING & WEAVING (SPINALEX),Process Industries,4.38,163.8554217,5.83840094,6.934165332,1442883636.0,0.04680544,38.97805652
SPMD,SPEED MEDICAL,Health Services,0.345,56.30915395,6.331842679,5.348156132,607256647.0,0.521527195,28.00258462
SVCE,SOUTH VALLEY CEMENT,Non-Energy Minerals,1.697,-18.80382775,3.514926914,6.024473283,815014080.0,1.567428577,32.89086724
TRST,THIQAH FOR BUSSINESS ADMINISTRATION AND DEVELOPMENT,Consumer Durables,0.75,292.6701571,-6.66134e-16,4.44089e-16,30000000.0,0.0,51.95087588
TRTO,TRANSOCEANS TOURS,Commercial Services,0.034,-37.03703704,5.125,4.420940587,160505835.6,0.0,51.63265422
UEFM,UPPER EGYPT FLOUR MILLS,Process Industries,176.0,46.65444546,2.068179919,3.818028581,1239000000.0,0.0,47.80015677
UEGC,ELSAEED CONTRACTING& REAL ESTATE INVESTMENT COMPANY SCCD,Industrial Services,0.687,39.42815258,3.072687753,5.44750524,505935568.0,1.31823391,35.24704943
UNIP,UNIVERSAL FOR PAPER AND PACKAGING MATERIALS (UNIPACK,Process Industries,0.428,14.74530831,4.246919685,5.35214254,335719992.0,1.353027088,31.71951814
UNIT,UNITED HOUSING & DEVELOPMENT,Finance,5.0,90.54878049,2.505861096,5.804812616,1342312164.0,0.60009536,37.59817693
VERT,VERTIKA FOR INDUSTRY & TRADE,Technology Services,0.862,186.2849578,9.551430781,10.6252144,20491572.0,0.440056258,4.668098514
WCDF,MIDDLE & WEST DELTA FLOUR MILLS,Process Industries,266.2,56.39503223,4.457774812,6.751479237,2068949890.0,0.0,52.04144747
WKOL,WADI KOM OMBO LAND RECLAMATION,Industrial Services,115.0,867.1993272,6.130618656,8.289361586,620927974.0,0.077756105,51.22470558
ZMID,ZAHRAA MAADI INVESTMENT & DEVELOPMENT,Finance,6.3,274.1554399,5.288136788,6.09271308,3426719879.0,0.0,40.97146748
